"","V1"
"338",14.1976654384767
"339",14.1974580231258
"340",14.1972743615087
"341",14.3018977208013
"342",14.303906486802
"343",14.305608971908
"344",14.3071086940644
"345",14.3083924449894
"346",14.3095149570128
"347",14.3104810985915
"348",14.3113224559905
"349",14.3120487991936
"350",14.3126799118865
"351",14.0964639604176
"352",14.0936376943624
"353",14.0912089553016
"354",14.0890914344372
"355",14.0872649614399
"356",14.0856769358612
"357",14.0843043659708
"358",14.0831128042791
"359",14.0820817426914
"360",14.0811874040079
"361",14.2005323242695
"362",14.2007952150914
"363",14.201019706119
"364",14.2012163536443
"365",14.2013853827179
"366",14.2015327259117
"367",14.2016598341099
"368",14.2017703372859
"369",14.2018658549403
"370",14.201948771641
"371",14.0983836098727
"372",14.0975981737974
"373",14.0969157491012
"374",14.096325609936
"375",14.0958134906784
"376",14.0953702272734
"377",14.0949858230078
"378",14.0946529378829
"379",14.094364361491
"380",14.0941143927814
"381",13.9314071912364
"382",13.9281507086935
"383",13.9251031391081
"384",13.9226076268048
"385",13.9203518700724
"386",13.9184573037608
"387",13.9167770352303
"388",13.9153459123635
"389",13.9140898679255
"390",13.9130117718272
"391",13.772162107296
"392",13.7690162402728
"393",13.7666662306036
"394",13.764388208304
"395",13.7625697458652
"396",13.7608940737101
"397",13.7595063851985
"398",13.7582626062802
"399",13.75721145355
"400",13.7562835289808
"401",13.6980513969713
"402",13.6971011642885
"403",13.6962873586969
"404",13.6955760361546
"405",13.694963632151
"406",13.6944304356266
"407",13.6939700564024
"408",13.6935700831515
"409",13.6932241820813
"410",13.692924022098
"411",13.7997177498304
"412",13.8015578697342
"413",13.803277046988
"414",13.8046865237879
"415",13.8059594131099
"416",13.8070292109068
"417",13.8079775224425
"418",13.8087855221961
"419",13.8094944770526
"420",13.8101031168671
"421",13.9034456911403
"422",13.9054914719099
"423",13.9072855163368
"424",13.9088263208104
"425",13.9101702701766
"426",13.9113291243062
"427",13.9123369300041
"428",13.9132078471054
"429",13.9139640111824
"430",13.9146182581486
"431",14.0679877971177
"432",14.0709075186916
"433",14.073651507115
"434",14.0758915385433
"435",14.0779210499674
"436",14.0796227058551
"437",14.0811338027312
"438",14.0824196329758
"439",14.0835489479122
"440",14.0845177680858
"441",14.1918020401676
"442",14.1950585546786
"443",14.1978134551297
"444",14.2002435959324
"445",14.2023216628738
"446",14.2041401020108
"447",14.2057043476949
"448",14.207067127872
"449",14.2082432514192
"450",14.2092654086258
"451",14.1227357266183
"452",14.1221763871624
"453",14.1213821639976
"454",14.1208930343476
"455",14.1203411855024
"456",14.1199453311566
"457",14.1195493806675
"458",14.1192403336223
"459",14.1189506493198
"460",14.1187137163862
"461",13.9974067001109
"462",13.9961269622835
"463",13.9950252563413
"464",13.994065999562
"465",13.9932377741798
"466",13.9925182014064
"467",13.9918959189529
"468",13.9913559180634
"469",13.9908885140051
"470",13.9904831796364
"471",13.9219200420464
"472",13.920254763123
"473",13.9185660025963
"474",13.9172607483862
"475",13.9160280940284
"476",13.915025361716
"477",13.9141144543778
"478",13.9133521825674
"479",13.912674287199
"480",13.9120980678342
"481",13.8990938212652
"482",13.8986576403844
"483",13.8982786318622
"484",13.8979508988759
"485",13.8976664802694
"486",13.8974203114388
"487",13.8972068246291
"488",13.8970219537174
"489",13.8968616877101
"490",13.8967228646865
"491",13.8998702655016
"492",13.8998076396572
"493",13.8997535384693
"494",13.8997065539211
"495",13.8996659096015
"496",13.8996306474514
"497",13.8996001207773
"498",13.8995736512324
"499",13.8995507269003
"500",13.8995308554107
